call_id,rsrp_min,rsrp_max,rsrp_mean,rsrp_std,rsrp_last,rsrp_slope_last5,rsrp_slope_all,rsrp_time_below_minus110,rsrq_min,rsrq_mean,rsrq_std,rsrq_slope_last5,sinr_min,sinr_mean,sinr_time_below_0,rain_mean,rain_max,tower_load_mean,tower_load_max,tower_load_high,speed_kmph_mean,speed_kmph_max,call_duration_sec,start_hour,date,time,band_5G_n78,band_LTE_B20,band_LTE_B3,is_drop
0,-86.3,-68.0,-79.74590163934427,4.866586149507247,-84.0,-0.0299999999999893,-0.1217945879499438,0,-14.8,-8.442622950819672,2.7838945914542834,0.9300000000000004,7.6,16.961475409836066,0,0.0,0.0,62.0,62,0,2.3,2.3,121,22,2023-11-14,22:13:20,0,0,1,0
1,-80.5,-64.5,-73.23504273504274,4.846056159249021,-76.9,0.5900000000000108,-0.0614418072111433,0,-16.0,-8.335042735042736,2.854717238744906,-0.84,5.1,17.663675213675216,0,0.0,0.0,51.0,51,0,48.5,48.5,233,22,2023-11-14,22:15:00,0,0,1,0
2,-78.2,-65.3,-70.99622641509434,3.0554140947151334,-71.7,-0.4099999999999964,0.0207165034631,0,-16.8,-8.412578616352201,2.7903482414662464,1.5800000000000003,5.8,17.4188679245283,0,3.6,3.6,30.0,30,0,1.7000000000000002,1.7,158,22,2023-11-14,22:16:40,1,0,0,0
3,-74.1,-68.6,-71.11794871794872,1.3026030204478674,-73.4,-0.2699999999999919,-0.0618218623481774,0,-16.4,-8.253846153846153,3.368885974999838,0.9100000000000014,12.0,17.364102564102566,0,0.0,0.0,53.0,53,0,50.4,50.4,38,22,2023-11-14,22:18:20,1,0,0,1
4,-88.2,-71.6,-81.42863636363636,4.294686953847543,-83.2,1.0200000000000151,-0.0486822041777717,0,-18.0,-9.24681818181818,3.007849527415988,0.1499999999999997,2.1,15.85818181818182,0,0.0,0.0,71.0,71,0,1.7,1.7,219,22,2023-11-14,22:20:00,1,0,0,0
5,-125.0,-92.4,-104.87916666666666,9.505988220944603,-125.0,-1.259999999999985,-0.6590534085974814,14,-19.7,-11.360416666666666,3.5203203180739067,-0.2899999999999986,1.5,12.64375,0,0.0,0.0,96.0,96,48,8.7,8.7,47,22,2023-11-14,22:21:40,1,0,0,1
6,-76.4,-67.7,-72.73065693430657,2.108615451922802,-70.4,0.1500000000000034,-0.0017935482666569,0,-16.6,-8.33065693430657,2.812120877553088,0.660000000000001,8.6,17.51021897810219,0,0.0,0.0,65.0,65,0,2.2,2.2,136,22,2023-11-14,22:23:20,0,0,1,0
7,-92.8,-84.1,-88.59710144927536,2.2612445177309914,-92.4,-0.1699999999999923,-0.0868651808549515,0,-16.5,-10.028985507246375,2.930373467930594,-1.6399999999999992,4.6,15.04782608695652,0,0.0,0.0,72.0,72,0,3.1,3.1,68,22,2023-11-14,22:25:00,0,0,1,0
8,-84.6,-72.6,-78.2720930232558,3.426390964084464,-83.8,0.0500000000000081,-0.2643612201751726,0,-18.3,-8.844186046511629,3.0951038389828502,0.4500000000000013,3.5,16.648837209302325,0,0.0,0.0,42.0,42,0,117.9,117.9,42,22,2023-11-14,22:26:40,0,1,0,0
9,-93.4,-83.6,-88.24444444444444,2.915285387211517,-92.4,0.1700000000000088,-0.2009617918313569,0,-16.4,-10.113333333333332,2.8872446758426653,-0.2399999999999994,2.2,13.92,0,0.0,0.0,38.0,38,0,2.1,2.1,44,22,2023-11-14,22:28:20,0,0,1,0
10,-79.1,-67.0,-73.98325581395349,2.9595558211583946,-71.7,0.0100000000000069,-0.0231146610640197,0,-17.2,-8.443720930232558,3.020760737922624,0.690000000000002,6.4,16.894418604651165,0,1.5,1.5,35.0,35,0,1.1,1.1,214,22,2023-11-14,22:30:00,0,1,0,0
11,-125.0,-81.7,-98.60408163265306,13.39880217257736,-125.0,-1.259999999999985,-0.896030612244899,14,-18.1,-11.222448979591835,3.5195445554149503,0.4100000000000021,4.5,13.89795918367347,0,0.0,0.0,87.0,87,49,63.4,63.4,48,22,2023-11-14,22:31:40,0,1,0,1
12,-103.2,-84.0,-97.69243697478991,4.448963462722029,-97.3,0.1800000000000062,-0.0364099074299497,0,-19.7,-10.755042016806724,2.8551300705477725,1.2000000000000024,1.4,13.866806722689075,0,0.0,0.0,83.0,83,238,0.7,0.7,237,22,2023-11-14,22:33:20,0,1,0,0
13,-66.9,-44.0,-53.77,6.8582646681484345,-45.1,0.2800000000000027,0.105196619294898,0,-16.0,-6.62047619047619,2.9632856718707696,-0.8499999999999994,8.1,19.603809523809524,0,0.0,0.0,52.0,52,0,0.9,0.9,209,22,2023-11-14,22:35:00,0,1,0,0
